Titre,Lien,Description,Date d'ouverture,Date de clôture,Pertinence,Matching Word(s),Pertinence LLM,Résumé LLM,Réponse brute
AHRC responsive mode: UKRI NSF-SBE lead agency,https://www.ukri.org/opportunity/ahrc-responsive-mode-ukri-nsf-sbe-lead-agency/,Apply for funding to work with overseas researchers in the Unites States (US).,11 December 2024 9:00am UK time,Date de clôture non spécifiée,Yes,"due diligence, knowledge transfer, artificial intelligence",Non,"L'appel à projets concerne des recherches collaborations dans le domaine des arts et humanités, avec des partenaires internationaux, notamment américains. Les projets précédemment réalisés par l'entreprise sont plutôt orientés vers l'entrepreneuriat, la création d'écosystème d'innovation, l'aide à la maturation technologique et l'appui au développement économique, notamment numérique. Il n'y a pas de similarité évidente entre les projets précédemment réalisés et cet appel à projets.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne des recherches collaborations dans le domaine des arts et humanités, avec des partenaires internationaux, notamment américains. Les projets précédemment réalisés par l'entreprise sont plutôt orientés vers l'entrepreneuriat, la création d'écosystème d'innovation, l'aide à la maturation technologique et l'appui au développement économique, notamment numérique. Il n'y a pas de similarité évidente entre les projets précédemment réalisés et cet appel à projets."
AHRC responsive mode: working with Brazilian researchers,https://www.ukri.org/opportunity/ahrc-responsive-mode-working-with-brazilian-researchers/,"Apply for funding to work with overseas researchers in the State of São Paulo, Brazil.",11 December 2024 9:00am UK time,Date de clôture non spécifiée,Yes,"due diligence, knowledge transfer, artificial intelligence",Non,"La pertinence est évaluée en fonction des axes principaux des projets réalisés par l'entreprise. Les projets déjà réalisés par l'entreprise concernent l'incubation, l'entrepreneuriat, la Deeptech, l'économie numérique, etc. L'appel à projets proposé concerne la recherche en arts et humanités, avec des critères d'éligibilité spécifiques (expérience en recherche, doctorat, etc.) et des objectifs de collaboration scientifique. Les deux domaines ne se recoupent pas, donc la pertinence est évaluée à ""Non"".","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : La pertinence est évaluée en fonction des axes principaux des projets réalisés par l'entreprise. Les projets déjà réalisés par l'entreprise concernent l'incubation, l'entrepreneuriat, la Deeptech, l'économie numérique, etc. L'appel à projets proposé concerne la recherche en arts et humanités, avec des critères d'éligibilité spécifiques (expérience en recherche, doctorat, etc.) et des objectifs de collaboration scientifique. Les deux domaines ne se recoupent pas, donc la pertinence est évaluée à ""Non""."
AHRC responsive mode: collaborate with researchers in Luxembourg,https://www.ukri.org/opportunity/ahrc-responsive-mode-collaborate-with-researchers-in-luxembourg/,Apply for funding to work with overseas researchers in Luxembourg.,11 December 2024 9:00am UK time,Date de clôture non spécifiée,Yes,"due diligence, knowledge transfer, artificial intelligence",Non,"L'appel à projet concerne des recherches en arts et humanités, avec un focus sur la collaboration entre chercheurs et praticiens, et la valorisation des résultats de recherche. Les projets de l'entreprise sont principalement liés à la Deeptech, l'incubation et l'accélération de startups, ainsi qu'à la stratégie de développement économique. Il n'y a pas de similarité directe entre les deux.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projet concerne des recherches en arts et humanités, avec un focus sur la collaboration entre chercheurs et praticiens, et la valorisation des résultats de recherche. Les projets de l'entreprise sont principalement liés à la Deeptech, l'incubation et l'accélération de startups, ainsi qu'à la stratégie de développement économique. Il n'y a pas de similarité directe entre les deux."
AHRC responsive mode: standard research grant,https://www.ukri.org/opportunity/ahrc-responsive-mode-standard-research-grant/,"Apply for Arts and Humanities Research Council (AHRC) standard research grant funding to support well-defined collaborative projects across the arts and humanities, in areas covered by our remit.",11 December 2024 9:00am UK time,Date de clôture non spécifiée,Yes,"due diligence, knowledge transfer, artificial intelligence",Non,"L'appel à projet de l'UK Research and Innovation (UKRI) concerne des subventions pour des projets de recherche collaboratifs dans le domaine des arts et des humanités, avec un focus sur la collaboration internationale et le développement des compétences. Les critères d'éligibilité et les objectifs du projet sont très spécifiques et ne correspondent pas aux projets de l'entreprise, qui sont plutôt axés sur l'incubation, l'accélération, le développement économique et la stratégie.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projet de l'UK Research and Innovation (UKRI) concerne des subventions pour des projets de recherche collaboratifs dans le domaine des arts et des humanités, avec un focus sur la collaboration internationale et le développement des compétences. Les critères d'éligibilité et les objectifs du projet sont très spécifiques et ne correspondent pas aux projets de l'entreprise, qui sont plutôt axés sur l'incubation, l'accélération, le développement économique et la stratégie."
EPSRC programme grant outline stage,https://www.ukri.org/opportunity/epsrc-programme-grant-outline-stage/,Programme grants provide flexible funding to world-leading UK research groups addressing significant research challenges.,1 October 2024 9:00am UK time,Date de clôture non spécifiée,Yes,"project management, due diligence",Non,"L'appel à projets EPSRC cherche des propositions de recherche collaborative et stratégiques pour aborder des défis scientifiques majeurs, avec un focus sur la recherche fondamentale et le développement de compétences. Les projets précédents de l'entreprise sont plutôt orientés vers l'incubation, l'accélération et le développement de startup, ainsi que la stratégie et la création d'écosystèmes d'entreprises. Les axes de recherche fondamentale et de développement de compétences ne sont pas présents dans les projets précédents, ce qui rend cette opportunité non pertinente pour l'entreprise.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets EPSRC cherche des propositions de recherche collaborative et stratégiques pour aborder des défis scientifiques majeurs, avec un focus sur la recherche fondamentale et le développement de compétences. Les projets précédents de l'entreprise sont plutôt orientés vers l'incubation, l'accélération et le développement de startup, ainsi que la stratégie et la création d'écosystèmes d'entreprises. Les axes de recherche fondamentale et de développement de compétences ne sont pas présents dans les projets précédents, ce qui rend cette opportunité non pertinente pour l'entreprise."
International Travel Award Scheme for the Biological Sciences,https://www.ukri.org/opportunity/bbsrc-international-travel-award-scheme/,"Apply for funding to visit international partners, in order to initiate collaborations, prepare joint funding proposals, visit overseas facilities or attend European consortia-building events. Stays may be of up to one month in duration.",1 October 2024 9:00am UK time,30 September 2025 4:00pm UK time,Yes,"due diligence, technology transfer",Non,"L'appel à projets étudié concerne des bourses de voyage internationales pour encourager la collaboration scientifique et la préparation de propositions pour des programmes internationaux. Les axes clés de cet appel à projets sont la recherche, l'innovation, la collaboration internationale, et la mobilité des chercheurs.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide expliquant ma réponse :

L'appel à projets étudié concerne des bourses de voyage internationales pour encourager la collaboration scientifique et la préparation de propositions pour des programmes internationaux. Les axes clés de cet appel à projets sont la recherche, l'innovation, la collaboration internationale, et la mobilité des chercheurs.

En comparant cet appel à projets avec les projets déjà réalisés par l'entreprise, je n'ai trouvé aucun projet similaire. Les projets de l'entreprise portaient sur l'incubation, la stratégie d'écosystème d'entreprises, l'économie numérique, la formation entrepreneuriale, etc. Les axes clés de ces projets sont très éloignés de ceux de l'appel à projets étudié."
Projects Peer Review Panel (PPRP) 2025,https://www.ukri.org/opportunity/projects-peer-review-panel-pprp-2025/,Apply for funding to develop a large or complex scientific project. You must have already discussed your ideas with one of our programme managers and have been invited to submit a full proposal.,1 October 2024 9:00am UK time,28 August 2025 4:00pm UK time,Yes,"project management, due diligence",Non,"L'appel à projets décrit une opportunité de financement pour des projets de recherche en physique, astrophysique, informatique et technologies d'accélérateur, ce qui est très éloigné des domaines d'expertise de l'entreprise, qui sont principalement liés à l'innovation, l'entrepreneuriat, le développement économique et la stratégie.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets décrit une opportunité de financement pour des projets de recherche en physique, astrophysique, informatique et technologies d'accélérateur, ce qui est très éloigné des domaines d'expertise de l'entreprise, qui sont principalement liés à l'innovation, l'entrepreneuriat, le développement économique et la stratégie."
UKRI cross research council responsive mode pilot scheme: round two full stage,https://www.ukri.org/opportunity/ukri-cross-research-council-responsive-mode-pilot-scheme-round-2/,"Apply for funding for breakthrough or disruptive interdisciplinary ideas that transcend, combine or significantly span disciplines that are not routinely funded through existing UK Research and Innovation (UKRI) responsive mode schemes.",4 April 2025 9:00am UK time,3 July 2025 4:00pm UK time,Yes,"due diligence, intellectual property, artificial intelligence, applied research",Non,"L'appel à projet est spécifique à des organismes de recherche au Royaume-Uni, et vise à financer des projets interdisciplinaires émergents de la communauté de recherche britannique. Les critères d'admissibilité et les rôles de l'appel à projet sont très spécifiques, ne correspondant à aucun des projets déjà réalisés par l'entreprise, qui ont un focus plus large sur l'incubation, la strategy, le financement et le développement économique.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide expliquant ma réponse : 
L'appel à projet est spécifique à des organismes de recherche au Royaume-Uni, et vise à financer des projets interdisciplinaires émergents de la communauté de recherche britannique. Les critères d'admissibilité et les rôles de l'appel à projet sont très spécifiques, ne correspondant à aucun des projets déjà réalisés par l'entreprise, qui ont un focus plus large sur l'incubation, la strategy, le financement et le développement économique."
NERC urgency funding,https://www.ukri.org/opportunity/nerc-urgency-funding-open/,"Apply for funding to respond quickly to transient, unexpected environmental research opportunities created by sporadic natural occurrences such as earthquakes, droughts, floods, or ephemeral events in ecosystems.",8 July 2024 9:00am UK time,Date de clôture non spécifiée,Yes,"due diligence, artificial intelligence",Non,"L'appel à projet concerne des recherches scientifiques urgentes en lien avec des événements naturels ou environnementaux, avec un focus sur l'utilisation de technologies novatrices et critiques. Les projets déjà réalisés par l'entreprise sont principalement liés à l'incubation, au développement d'écosystèmes d'économie numérique, et à la stratégie de financement, ce qui n'a pas de lien direct avec les recherche scientifiques ou les technologies novatrices.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projet concerne des recherches scientifiques urgentes en lien avec des événements naturels ou environnementaux, avec un focus sur l'utilisation de technologies novatrices et critiques. Les projets déjà réalisés par l'entreprise sont principalement liés à l'incubation, au développement d'écosystèmes d'économie numérique, et à la stratégie de financement, ce qui n'a pas de lien direct avec les recherche scientifiques ou les technologies novatrices."
Strategic infrastructure outlines,https://www.ukri.org/opportunity/strategic-infrastructure-outlines/,"Apply for funding to purchase strategic infrastructure including equipment, resources or both.",18 June 2024 9:00am UK time,Date de clôture non spécifiée,Yes,"due diligence, innovation grant",Non,"L'appel à projets_EPSRC concerne spécifiquement le financement d'infrastructures stratégiques pour la recherche scientifique au Royaume-Uni, notamment dans les domaines de la technologie et de la recherche d'avant-garde. Les critères d'éligibilité et les objectifs du programme sont très spécifiques et ne correspondent pas aux compétences et aux expériences de l'entreprise, qui a principalement travaillé dans les domaines de l'incubation, du développement de l'entrepreneuriat et de la stratégie de financement pour l'économie numérique.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets_EPSRC concerne spécifiquement le financement d'infrastructures stratégiques pour la recherche scientifique au Royaume-Uni, notamment dans les domaines de la technologie et de la recherche d'avant-garde. Les critères d'éligibilité et les objectifs du programme sont très spécifiques et ne correspondent pas aux compétences et aux expériences de l'entreprise, qui a principalement travaillé dans les domaines de l'incubation, du développement de l'entrepreneuriat et de la stratégie de financement pour l'économie numérique."
EPSRC network grant: Nov 2023: responsive mode,https://www.ukri.org/opportunity/epsrc-network-grant-nov-2023-responsive-mode/,You can apply for a network grant in any area within the remit of Engineering and Physical Sciences Research Council (EPSRC).,13 November 2023 9:00am UK time,Date de clôture non spécifiée,Yes,artificial intelligence,Non,"L'appel à projets concerne des grant de recherche interdisciplinaires pour des projets de 3 ans maximum, dans des domaines tels que l'intelligence artificielle, la sécurité numérique, l'énergie, la santé, etc. Les projets précédents de l'entreprise sont plutôt focalisés sur l'incubation, l'accélération et la stratégie d'entreprises, notamment dans les domaines de la Deeptech et de l'économie numérique. Il n'y a pas de similarité évidente entre ces projets et l'appel à projet EPSRC.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne des grant de recherche interdisciplinaires pour des projets de 3 ans maximum, dans des domaines tels que l'intelligence artificielle, la sécurité numérique, l'énergie, la santé, etc. Les projets précédents de l'entreprise sont plutôt focalisés sur l'incubation, l'accélération et la stratégie d'entreprises, notamment dans les domaines de la Deeptech et de l'économie numérique. Il n'y a pas de similarité évidente entre ces projets et l'appel à projet EPSRC."
EPSRC new investigator award: Nov 2023: responsive mode,https://www.ukri.org/opportunity/epsrc-new-investigator-award-nov-2023-responsive-mode/,This funding opportunity is for people who are establishing their own independent research vision.,13 November 2023 9:00am UK time,Date de clôture non spécifiée,Yes,artificial intelligence,Non,"L'appel à projets seems to be focused on funding individual researchers, particularly those in the early stages of their careers, to develop their own research vision and establish a new research group. The types of projects that are being funded are in the fields of artificial intelligence, digital security, energy, engineering, and physical sciences. None of the projects listed in the company's portfolio seem to match this description, as they are more focused on supporting startups, entrepreneurship, and digital economy projects. The company's projects seem to be more focused on the business and economic side, whereas this call for projects is more focused on the scientific and research side.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide expliquant ma réponse : 
L'appel à projets seems to be focused on funding individual researchers, particularly those in the early stages of their careers, to develop their own research vision and establish a new research group. The types of projects that are being funded are in the fields of artificial intelligence, digital security, energy, engineering, and physical sciences. None of the projects listed in the company's portfolio seem to match this description, as they are more focused on supporting startups, entrepreneurship, and digital economy projects. The company's projects seem to be more focused on the business and economic side, whereas this call for projects is more focused on the scientific and research side."
"EPSRC discipline hopping in ICT, Nov 2023: responsive mode",https://www.ukri.org/opportunity/epsrc-discipline-hopping-in-ict-nov-2023-responsive-mode/,"This is an opportunity for information and communications technology (ICT) researchers to use their expertise in other disciplines, or for other researchers to apply their expertise to ICT.",13 November 2023 9:00am UK time,Date de clôture non spécifiée,Yes,artificial intelligence,Non,"L'appel à projet EPSRC concerne des recherches en ICT (Information and Communications Technology) et encourage les chercheurs à explorer de nouvelles disciplines ou à appliquer leurs compétences dans le domaine des ICT. Les axes clés de cet appel à projet sont la recherche, l'innovation, la collaboration et le développement de compétences. Aucun des projets précédemment réalisés par l'entreprise (FACTORIAT, National Entrepreneurship Program, Arab Bank Strategy) ne correspond à ces critères, ce qui explique pourquoi cette opportunité ne paraît pas pertinente pour l'entreprise.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projet EPSRC concerne des recherches en ICT (Information and Communications Technology) et encourage les chercheurs à explorer de nouvelles disciplines ou à appliquer leurs compétences dans le domaine des ICT. Les axes clés de cet appel à projet sont la recherche, l'innovation, la collaboration et le développement de compétences. Aucun des projets précédemment réalisés par l'entreprise (FACTORIAT, National Entrepreneurship Program, Arab Bank Strategy) ne correspond à ces critères, ce qui explique pourquoi cette opportunité ne paraît pas pertinente pour l'entreprise."
EPSRC overseas travel grant: Nov 2023: responsive mode,https://www.ukri.org/opportunity/epsrc-overseas-travel-grant-nov-2023-responsive-mode/,You can apply for an overseas travel grant in any area within the remit of EPSRC.,13 November 2023 9:00am UK time,Date de clôture non spécifiée,Yes,artificial intelligence,Non,"L'appel à projets de l'EPSRC est très spécifique et technique, il concerne des recherches en sciences fondamentale et appliquées, avec un focus sur les nouvelles technologies et la collaboration internationale. Les projets déjà réalisés par l'entreprise sont plus tournés vers l'entrepreneuriat, l'écosystème des startups et le développement économique, ils n'ont pas de lien direct avec ce type de recherche scientifique et tecnologique.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets de l'EPSRC est très spécifique et technique, il concerne des recherches en sciences fondamentale et appliquées, avec un focus sur les nouvelles technologies et la collaboration internationale. Les projets déjà réalisés par l'entreprise sont plus tournés vers l'entrepreneuriat, l'écosystème des startups et le développement économique, ils n'ont pas de lien direct avec ce type de recherche scientifique et tecnologique."
"EPSRC standard research grant, Nov 2023: responsive mode",https://www.ukri.org/opportunity/epsrc-standard-research-grant-nov-2023-responsive-mode/,You can apply for a research grant in any area within the remit of Engineering and Physical Sciences Research Council (EPSRC).,13 November 2023 9:00am UK time,Date de clôture non spécifiée,Yes,artificial intelligence,Non,**,"**Pertinence : Non**

Les projets que l'entreprise a déjà réalisés sont principalement liés à l'incubation, l'accélération et le développement de projets entrepreneuriaux, alors que l'appel à projet présenté concerne la recherche fondamentale et appliquée dans les domaines des sciences physiques et de l'ingénierie.

**Projets similaires détectés : Aucun**

L'appel à projet ne présente pas de similarité avec les projets que l'entreprise a déjà réalisés. Les domaines de recherche et les objectifs sont très éloignés des activités de l'entreprise.

**Résumé rapide :**

L'appel à projet concerne la recherche fondamentale et appliquée dans les domaines des sciences physiques et de l'ingénierie, alors que l'entreprise a réalisé des projets liés à l'incubation, l'accélération et le développement de projets entrepreneuriaux. Il n'y a pas de similarité entre les deux, et l'appel à projet n'est pas pertinent pour l'entreprise."
ESRC responsive mode: research grants round two,https://www.ukri.org/opportunity/esrc-responsive-mode-research-grants-round-two/,"This opportunity funds researcher-driven basic, applied, and strategic research from any disciplines and on any topics in ESRC’s remit, as long as the social sciences are more than 50% of the focus and effort.",29 September 2023 9:00am UK time,Date de clôture non spécifiée,Yes,"artificial intelligence, economic impact",Non,"L'appel à projets de l'UKRI concerne des recherches fondamentales, appliquées et stratégiques dans les disciplines des sciences sociales, avec un focus sur l'impact scientifique, sociétal et économique. Les projets de l'entreprise sont axés sur l'incubation, le développement de startups, la création d'écosystèmes d'entreprises, et le financement de projets numériques. Il n'y a pas desimilarité directe entre les projets de l'entreprise et l'appel à projets de l'UKRI.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets de l'UKRI concerne des recherches fondamentales, appliquées et stratégiques dans les disciplines des sciences sociales, avec un focus sur l'impact scientifique, sociétal et économique. Les projets de l'entreprise sont axés sur l'incubation, le développement de startups, la création d'écosystèmes d'entreprises, et le financement de projets numériques. Il n'y a pas desimilarité directe entre les projets de l'entreprise et l'appel à projets de l'UKRI."
ESRC responsive mode: new investigator grants round two,https://www.ukri.org/opportunity/esrc-responsive-mode-new-investigator-grants-round-two/,This opportunity funds new researchers at the start of their careers to support them to become independent researchers through gaining experience of managing and leading research projects and teams.,29 September 2023 9:00am UK time,Date de clôture non spécifiée,Yes,"capacity building, project management, artificial intelligence, economic impact, skills development",Non,"L'appel à projets concerne des subventions pour des chercheurs débutants dans le domaine des sciences sociales, tandis que les projets de l'entreprise portent sur l'incubation, la stratégie, le développement de startup et la prototypage, dans les domaines de la Deeptech, du hardware et de l'économie digitale. Les deux ne partagent pas les mêmes objectifs ni les mêmes domaines d'application.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne des subventions pour des chercheurs débutants dans le domaine des sciences sociales, tandis que les projets de l'entreprise portent sur l'incubation, la stratégie, le développement de startup et la prototypage, dans les domaines de la Deeptech, du hardware et de l'économie digitale. Les deux ne partagent pas les mêmes objectifs ni les mêmes domaines d'application."
ESRC responsive mode: working with Luxembourg researchers round two,https://www.ukri.org/opportunity/esrc-responsive-mode-working-with-luxembourg-researchers-round-two/,"This opportunity funds collaborative work with researchers in Luxembourg, governed by an agreement between UK Research and Innovation (UKRI) and FNR in Luxembourg.",29 September 2023 9:00am UK time,Date de clôture non spécifiée,Yes,economic impact,Non,"L'appel à projets concerne spécifiquement des recherches dans les sciences sociales, avec un focus sur la collaboration entre le Royaume-Uni et le Luxembourg. Les critères d'éligibilité et la thématique sont très spécifiques et ne correspondent pas aux projets précédemment réalisés par l'entreprise, qui touchent à l'incubation, à la stratégie, au développement de l'économie numérique et au renforcement des capacités.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne spécifiquement des recherches dans les sciences sociales, avec un focus sur la collaboration entre le Royaume-Uni et le Luxembourg. Les critères d'éligibilité et la thématique sont très spécifiques et ne correspondent pas aux projets précédemment réalisés par l'entreprise, qui touchent à l'incubation, à la stratégie, au développement de l'économie numérique et au renforcement des capacités."
ESRC responsive mode: secondary data analysis round two,https://www.ukri.org/opportunity/esrc-responsive-mode-secondary-data-analysis-round-two/,"Individuals and research teams can apply for funding to support high-impact, policy- and practitioner-relevant research through deeper exploitation of existing data resources from any disciplines and on any topics in ESRC’s remit.",29 September 2023 9:00am UK time,Date de clôture non spécifiée,Yes,"artificial intelligence, economic impact",Non,"L'appel à projets concerne des recherches sociales et économiques utilisant des données existantes, ce qui est très différent des projets de l'entreprise qui portent sur l'incubation d'entreprises, la création d'écosystèmes d'entreprises, la stratégie de financement et la promotion de l'économie numérique. Les thèmes et les objectifs de l'appel à projets ne correspondent pas aux Domaines d'expertise de l'entreprise.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne des recherches sociales et économiques utilisant des données existantes, ce qui est très différent des projets de l'entreprise qui portent sur l'incubation d'entreprises, la création d'écosystèmes d'entreprises, la stratégie de financement et la promotion de l'économie numérique. Les thèmes et les objectifs de l'appel à projets ne correspondent pas aux Domaines d'expertise de l'entreprise."
ESRC responsive mode: UKRI-SBE lead agency opportunity round two,https://www.ukri.org/opportunity/esrc-responsive-mode-ukri-sbe-lead-agency-opportunity-round-two/,The UKRI-SBE lead agency funding opportunity allows UK and US-based researchers to submit a collaborative proposal that will go through a single review process. Grants are funded through existing funding programmes at the relevant lead agency.,29 September 2023 9:00am UK time,Date de clôture non spécifiée,Yes,"biotechnology, economic impact",Non,"Les projets précédemment réalisés par l'entreprise ont trait à la Deeptech, l'incubation, l'accélération, la stratégie, le financement, tandis que l'appel à projet concerne des recherches en sciences sociales, en collaboration avec des partenaires américains, avec un focus sur l'impact sociétal et économique. Les domaines et les objectifs sont très éloignés, ce qui rend cette opportunité non pertinente pour l'entreprise.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : Les projets précédemment réalisés par l'entreprise ont trait à la Deeptech, l'incubation, l'accélération, la stratégie, le financement, tandis que l'appel à projet concerne des recherches en sciences sociales, en collaboration avec des partenaires américains, avec un focus sur l'impact sociétal et économique. Les domaines et les objectifs sont très éloignés, ce qui rend cette opportunité non pertinente pour l'entreprise."
ESRC responsive mode: working with Brazilian researchers round two,https://www.ukri.org/opportunity/esrc-responsive-mode-working-with-brazilian-researchers-round-two/,"If you are a UK-based researcher you can apply for funding to work with overseas researchers in the State of São Paulo, Brazil. Submit collaborative research proposals in any area of the social sciences within the remit of both ESRC and FAPESP.",29 September 2023 9:00am UK time,Date de clôture non spécifiée,Yes,economic impact,Non,"L'appel à projets concerne des recherches en sciences sociales avec un accent sur la collaboration internationale, ce qui ne correspond pas aux thèmes et axes des projets realizés par l'entreprise (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Digital Economy, Strategic Development, Financing). Les compétences et expertises de l'entreprise ne semblent pas alignées avec les objectifs et les critères de l'appel à projets.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne des recherches en sciences sociales avec un accent sur la collaboration internationale, ce qui ne correspond pas aux thèmes et axes des projets realizés par l'entreprise (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Digital Economy, Strategic Development, Financing). Les compétences et expertises de l'entreprise ne semblent pas alignées avec les objectifs et les critères de l'appel à projets."
Collaborate with researchers in Luxembourg,https://www.ukri.org/opportunity/collaborate-with-researchers-in-luxembourg/,UKRI and FNR have signed a memorandum of understanding to enable and support applications between researchers in the UK and Luxembourg. UKRI will fund the UK component and FNR will fund the Luxembourg component of the application.,Date d'ouverture non spécifiée,Date de clôture non spécifiée,Yes,"intellectual property, research results",Non,"L'appel à projets concerne des recherches collaboratives entre le Royaume-Uni et le Luxembourg, avec un focus sur des domaines scientifiques précis (AHRC, BBSRC, EPSRC, ESRC, MRC, NERC, STFC). Les projets déjà réalisés par l'entreprise sont principalement liés à l'entrepreneuriat, l'incubation, l'accélération, la stratégie, le développement économique, ce qui ne correspond pas au périmètre de cet appel à projets.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne des recherches collaboratives entre le Royaume-Uni et le Luxembourg, avec un focus sur des domaines scientifiques précis (AHRC, BBSRC, EPSRC, ESRC, MRC, NERC, STFC). Les projets déjà réalisés par l'entreprise sont principalement liés à l'entrepreneuriat, l'incubation, l'accélération, la stratégie, le développement économique, ce qui ne correspond pas au périmètre de cet appel à projets."
Work with Brazilian researchers: NERC FAPESP lead agency,https://www.ukri.org/opportunity/work-with-brazilian-researchers-nerc-fapesp-lead-agency/,"This opportunity allows UK-based researchers and researchers in the State of São Paulo, Brazil to submit a collaborative application under existing NERC funding opportunities. This will go through a single review process.",Date d'ouverture non spécifiée,Date de clôture non spécifiée,Yes,"intellectual property, research results",Non,"L'appel à projets concerne la collaboration entre des chercheurs britanniques et des partenaires basés à São Paulo pour des projets de recherche collaborative. Les projets précédemment réalisés par l'entreprise ne concernent pas la recherche collaborative ni les financements de projet de recherche. Les axes principaux des projets précédemment réalisés (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, Financing) ne correspondent pas aux critères de cet appel à projets.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne la collaboration entre des chercheurs britanniques et des partenaires basés à São Paulo pour des projets de recherche collaborative. Les projets précédemment réalisés par l'entreprise ne concernent pas la recherche collaborative ni les financements de projet de recherche. Les axes principaux des projets précédemment réalisés (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, Financing) ne correspondent pas aux critères de cet appel à projets."
Collaborate with researchers in Brazil,https://www.ukri.org/opportunity/collaborate-with-researchers-in-brazil/,UK Research and Innovation (UKRI) and FAPESP’s lead agency agreement allows UKRI to assess joint applications from eligible UK and Brazil-based researchers from the state of São Paulo on behalf of both organisations.,Date d'ouverture non spécifiée,Date de clôture non spécifiée,Yes,"intellectual property, research results",Non,"L'appel à projets concerne des collaborations entre les rechercheurs du Royaume-Uni et du Brésil, avec des financements spécifiques pour des projets de recherche fondamentale. Les projets précédemment réalisés par l'entreprise sont majoritairement liés à l'entrepreneuriat, au développement économique, à l'incubation et à la stratégie, ce qui n'est pas en phase avec les objectifs de cet appel à projets.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne des collaborations entre les rechercheurs du Royaume-Uni et du Brésil, avec des financements spécifiques pour des projets de recherche fondamentale. Les projets précédemment réalisés par l'entreprise sont majoritairement liés à l'entrepreneuriat, au développement économique, à l'incubation et à la stratégie, ce qui n'est pas en phase avec les objectifs de cet appel à projets."
UKRI-SBE lead agency opportunity,https://www.ukri.org/opportunity/ukri-sbe-lead-agency-opportunity/,The UKRI-SBE lead agency opportunity allows UK and US-based researchers to submit a collaborative proposal that will go through a single review process. Grants are funded through existing funding programmes at the relevant lead agency.,Date d'ouverture non spécifiée,Date de clôture non spécifiée,Yes,biotechnology,Non,"L'appel à projets décrit une opportunité de recherche collaborative entre les États-Unis et le Royaume-Uni, avec un focus sur les sciences sociales, biotechnologies et arts. Les projets précédemment réalisés par l'entreprise ne semblent pas avoir de lien évident avec ce type de recherche académique. Les axes Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, Financing sont plutôt liés à des activités d'entrepreneuriat, d'incubation, d'accélération, de développement économique, qui sont peu en rapport avec la recherche académique demandée dans l'appel à projets.","Pertinence : Non

Projets similaires détectés : -

Résumé rapide expliquant ta réponse :
L'appel à projets décrit une opportunité de recherche collaborative entre les États-Unis et le Royaume-Uni, avec un focus sur les sciences sociales, biotechnologies et arts. Les projets précédemment réalisés par l'entreprise ne semblent pas avoir de lien évident avec ce type de recherche académique. Les axes Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, Financing sont plutôt liés à des activités d'entrepreneuriat, d'incubation, d'accélération, de développement économique, qui sont peu en rapport avec la recherche académique demandée dans l'appel à projets."
